,AKT1S1,ATF4,BAX,BCL2L11,BRAF,CASP8,CDC42,CDKN1A,CEBPA,CREB1,CXXC4,DIABLO,E2F1,ELK1,EMPTY,ERG,FGFR3,FOXO1,GLI1,HRAS,IRAK4,JUN,MAP2K3,MAP3K2,MAP3K5,MAP3K9,MAPK7,MOS,MYD88,PIK3R2,PRKACA,PRKCE,RAF1,RELB,RHOA,SMAD4,SMO,SRC,SREBF1,TRAF2,TSC2,WWTR1
AKT1S1,0.5960984969619444,0.041893188359449954,0.007035497281739686,0.009913655260633194,0.0015989766549408379,0.005116725295810681,0.0009593859929645027,0.012472017908538535,0.0019187719859290054,0.0006395906619763352,0.004157339302846178,0.01055324592260953,0.002878157978893508,0.007035497281739686,0.008634473936680525,0.002238567316917173,0.012791813239526703,0.03229932842980492,0.0031979533098816758,0.0006395906619763352,0.024624240486088904,0.0,0.003517748640869843,0.0012791813239526704,0.005436520626798848,0.0,0.004796929964822514,0.0003197953309881676,0.008314678605692356,0.022065877838183562,0.0019187719859290054,0.003517748640869843,0.0,0.015030380556443877,0.007675087943716022,0.0012791813239526704,0.04764950431723697,0.02238567316917173,0.04860889031020147,0.0063959066197633516,0.003837543971858011,0.00927406459865686
ATF4,0.052538787023977435,0.3998589562764457,0.01904090267983075,0.028561354019746122,0.0003526093088857546,0.024330042313117067,0.004936530324400564,0.0380818053596615,0.007052186177715092,0.010225669957686883,0.0038787023977433005,0.01904090267983075,0.006346967559943582,0.03314527503526093,0.0003526093088857546,0.009167842031029619,0.011988716502115656,0.004583921015514809,0.003526093088857546,0.005289139633286318,0.08145275035260931,0.003526093088857546,0.005289139633286318,0.0003526093088857546,0.003173483779971791,0.0007052186177715092,0.004231311706629055,0.004231311706629055,0.003173483779971791,0.03596614950634697,0.004231311706629055,0.004936530324400564,0.003173483779971791,0.034908321579689705,0.006346967559943582,0.03702397743300423,0.015162200282087448,0.014104372355430184,0.00846262341325811,0.014809590973201692,0.02926657263751763,0.003173483779971791
BAX,0.0273972602739726,0.03178082191780822,0.4893150684931507,0.00821917808219178,0.0,0.009863013698630137,0.0027397260273972603,0.010958904109589041,0.007123287671232876,0.030684931506849315,0.006027397260273973,0.0,0.010410958904109589,0.023013698630136987,0.0032876712328767125,0.010410958904109589,0.01589041095890411,0.0032876712328767125,0.001095890410958904,0.002191780821917808,0.09863013698630137,0.0016438356164383563,0.0038356164383561643,0.000547945205479452,0.0016438356164383563,0.0,0.009863013698630137,0.000547945205479452,0.001095890410958904,0.03561643835616438,0.004383561643835616,0.0032876712328767125,0.000547945205479452,0.0,0.01863013698630137,0.02958904109589041,0.015342465753424657,0.023561643835616437,0.0,0.0016438356164383563,0.03726027397260274,0.01863013698630137
BCL2L11,0.001937984496124031,0.015503875968992248,0.001937984496124031,0.6647286821705426,0.0,0.1434108527131783,0.005813953488372093,0.013565891472868217,0.0,0.0,0.015503875968992248,0.009689922480620155,0.0,0.005813953488372093,0.0,0.005813953488372093,0.003875968992248062,0.003875968992248062,0.0,0.011627906976744186,0.001937984496124031,0.0,0.009689922480620155,0.001937984496124031,0.005813953488372093,0.003875968992248062,0.003875968992248062,0.0,0.003875968992248062,0.003875968992248062,0.01744186046511628,0.001937984496124031,0.001937984496124031,0.001937984496124031,0.011627906976744186,0.0,0.003875968992248062,0.001937984496124031,0.013565891472868217,0.0,0.001937984496124031,0.005813953488372093
BRAF,0.026019080659150044,0.015611448395490026,0.0071552471812662615,0.02233304423243712,0.16500433651344318,0.02753686036426713,0.008456201214223764,0.0039028620988725065,0.005420641803989592,0.004336513443191674,0.02992194275802255,0.027320034692107545,0.016045099739809193,0.037944492627927144,0.003469210754553339,0.0075888985255854295,0.02580225498699046,0.006938421509106678,0.010190806591500434,0.06483087597571552,0.011274934952298352,0.00823937554206418,0.019731136166522115,0.01626192541196878,0.013660017346053772,0.018430182133564614,0.016912402428447527,0.025585429314830876,0.02515177797051171,0.021899392888117954,0.012359063313096271,0.007372072853425846,0.08738074588031224,0.013443191673894189,0.03339115351257589,0.004770164787510842,0.029705117085862966,0.04011274934952298,0.04336513443191674,0.015394622723330443,0.0032523850823937554,0.01647875108412836
CASP8,0.0024271844660194173,0.0048543689320388345,0.0,0.009708737864077669,0.0,0.9368932038834952,0.0,0.012135922330097087,0.0,0.0,0.007281553398058253,0.0024271844660194173,0.0,0.0024271844660194173,0.0,0.0,0.0,0.0024271844660194173,0.0,0.009708737864077669,0.0,0.0,0.0048543689320388345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024271844660194173,0.0,0.0,0.0,0.0,0.0,0.0,0.0024271844660194173,0.0,0.0,0.0,0.0
CDC42,0.03085399449035813,0.028925619834710745,0.01349862258953168,0.01652892561983471,0.0030303030303030303,0.03553719008264463,0.37134986225895317,0.01928374655647383,0.003856749311294766,0.0024793388429752068,0.008815426997245178,0.008264462809917356,0.015977961432506887,0.03829201101928375,0.005234159779614325,0.005509641873278237,0.015426997245179064,0.02727272727272727,0.007988980716253443,0.018732782369146005,0.01652892561983471,0.0013774104683195593,0.01652892561983471,0.0209366391184573,0.013774104683195593,0.011019283746556474,0.01818181818181818,0.005785123966942148,0.015151515151515152,0.030303030303030304,0.003305785123966942,0.00743801652892562,0.0049586776859504135,0.017079889807162536,0.020110192837465565,0.0049586776859504135,0.007713498622589532,0.04159779614325069,0.022865013774104683,0.023966942148760332,0.008264462809917356,0.011294765840220386
CDKN1A,0.0025412960609911056,0.008894536213468869,0.0025412960609911056,0.005082592121982211,0.0012706480304955528,0.03303684879288437,0.0025412960609911056,0.8742058449809402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005082592121982211,0.0,0.0,0.011435832274459974,0.017789072426937738,0.0,0.0,0.0025412960609911056,0.0,0.0012706480304955528,0.005082592121982211,0.0,0.0,0.0063532401524777635,0.0,0.0,0.0,0.0012706480304955528,0.0,0.005082592121982211,0.0025412960609911056,0.0,0.0,0.0025412960609911056,0.008894536213468869,0.0
CEBPA,0.00882223202470225,0.004852227613586237,0.011910013233348038,0.0066166740185266875,0.000882223202470225,0.0061755624172915745,0.0013233348037053375,0.0035288928098809,0.659020732245258,0.004411116012351125,0.01940891045434495,0.000882223202470225,0.011468901632112925,0.017203352448169385,0.0004411116012351125,0.06219673577415086,0.0105866784296427,0.0,0.0066166740185266875,0.0013233348037053375,0.010145566828407587,0.05161005734450816,0.0022055580061755625,0.002646669607410675,0.0004411116012351125,0.0035288928098809,0.000882223202470225,0.0066166740185266875,0.0,0.0004411116012351125,0.018967798853109837,0.009704455227172474,0.00176444640494045,0.0035288928098809,0.0066166740185266875,0.0,0.0013233348037053375,0.02646669607410675,0.0,0.004411116012351125,0.0030877812086457872,0.007940008822232024
CREB1,0.014448669201520912,0.03193916349809886,0.06311787072243347,0.011406844106463879,0.001520912547528517,0.019011406844106463,0.008365019011406844,0.01977186311787072,0.003041825095057034,0.5155893536121673,0.0038022813688212928,0.0045627376425855515,0.008365019011406844,0.01749049429657795,0.0038022813688212928,0.00532319391634981,0.01977186311787072,0.0022813688212927757,0.001520912547528517,0.0007604562737642585,0.07604562737642585,0.001520912547528517,0.0007604562737642585,0.0022813688212927757,0.006844106463878327,0.0007604562737642585,0.001520912547528517,0.003041825095057034,0.0007604562737642585,0.01596958174904943,0.0022813688212927757,0.0038022813688212928,0.003041825095057034,0.0,0.001520912547528517,0.05247148288973384,0.001520912547528517,0.023574144486692015,0.0007604562737642585,0.0038022813688212928,0.0311787072243346,0.01064638783269962
CXXC4,0.022172949002217297,0.004434589800443459,0.005543237250554324,0.06430155210643015,0.0,0.08647450110864745,0.008869179600886918,0.0011086474501108647,0.005543237250554324,0.0011086474501108647,0.5388026607538803,0.017738359201773836,0.0,0.017738359201773836,0.0011086474501108647,0.017738359201773836,0.0011086474501108647,0.0,0.015521064301552107,0.004434589800443459,0.0,0.0011086474501108647,0.0011086474501108647,0.01662971175166297,0.01662971175166297,0.004434589800443459,0.013303769401330377,0.005543237250554324,0.0011086474501108647,0.0066518847006651885,0.03547671840354767,0.0022172949002217295,0.01662971175166297,0.004434589800443459,0.013303769401330377,0.0011086474501108647,0.008869179600886918,0.015521064301552107,0.007760532150776054,0.0033259423503325942,0.0011086474501108647,0.009977827050997782
DIABLO,0.08836907082521117,0.0539311241065627,0.0,0.037686809616634176,0.001299545159194282,0.017543859649122806,0.002599090318388564,0.016244314489928524,0.000649772579597141,0.0,0.018193632228719947,0.43664717348927873,0.0,0.018193632228719947,0.000649772579597141,0.0,0.001949317738791423,0.01299545159194282,0.001299545159194282,0.011046133853151396,0.001949317738791423,0.0,0.014294996751137101,0.005847953216374269,0.015594541910331383,0.003248862897985705,0.009746588693957114,0.005198180636777128,0.017543859649122806,0.011046133853151396,0.003898635477582846,0.000649772579597141,0.005198180636777128,0.023391812865497075,0.007147498375568551,0.000649772579597141,0.06107862248213125,0.00649772579597141,0.057829759584145546,0.011695906432748537,0.000649772579597141,0.017543859649122806
E2F1,0.014084507042253521,0.010199125789218067,0.021855269548324428,0.004371053909664886,0.0009713453132588635,0.0048567265662943174,0.004371053909664886,0.001942690626517727,0.008742107819329771,0.005828071879553181,0.0029140359397765905,0.0,0.651287032540068,0.03108305002428363,0.003885381253035454,0.028654686741136474,0.013598834385624089,0.0024283632831471587,0.009227780475959204,0.005828071879553181,0.025740650801359885,0.017969888295288974,0.0,0.003399708596406022,0.001942690626517727,0.0,0.0,0.001942690626517727,0.0,0.027683341427877612,0.006313744536182613,0.006799417192812044,0.00048567265662943174,0.016027197668771247,0.001942690626517727,0.003399708596406022,0.00048567265662943174,0.01894123360854784,0.0009713453132588635,0.011656143759106362,0.006313744536182613,0.021855269548324428
ELK1,0.0028846153846153848,0.047115384615384615,0.007692307692307693,0.022115384615384617,0.0019230769230769232,0.03461538461538462,0.013461538461538462,0.011538461538461539,0.006730769230769231,0.0057692307692307696,0.022115384615384617,0.0125,0.0125,0.5942307692307692,0.0,0.015384615384615385,0.007692307692307693,0.0,0.0028846153846153848,0.01826923076923077,0.026923076923076925,0.0019230769230769232,0.0028846153846153848,0.0038461538461538464,0.0038461538461538464,0.0,0.0028846153846153848,0.0057692307692307696,0.0038461538461538464,0.016346153846153847,0.021153846153846155,0.0009615384615384616,0.006730769230769231,0.0038461538461538464,0.006730769230769231,0.0019230769230769232,0.0,0.016346153846153847,0.0,0.009615384615384616,0.019230769230769232,0.0057692307692307696
EMPTY,0.10179076343072573,0.035186930568645934,0.023091423185673893,0.017593465284322967,0.0015708451146716933,0.00958215519949733,0.0097392397109645,0.015708451146716932,0.0031416902293433867,0.008325479107759975,0.01413760603204524,0.015551366635249765,0.015865535658184104,0.010838831291234684,0.027175620483820294,0.0053408733898837575,0.03550109959158027,0.04586867734841345,0.015865535658184104,0.0051837888784165885,0.04445491674520892,0.0012566760917373547,0.022620169651272386,0.00706880301602262,0.018221803330191643,0.000942507068803016,0.021834747093936537,0.010681746779767515,0.02120640904806786,0.05827835375431983,0.010681746779767515,0.011467169337103362,0.00235626767200754,0.03958529688972667,0.022934338674206724,0.01932139491046183,0.06330505812126924,0.03550109959158027,0.07728557964184732,0.021049324536600692,0.02419101476594408,0.0486961985548225
ERG,0.023109243697478993,0.008928571428571428,0.005777310924369748,0.0005252100840336134,0.0021008403361344537,0.003676470588235294,0.003676470588235294,0.003676470588235294,0.04044117647058824,0.0021008403361344537,0.019432773109243698,0.0021008403361344537,0.03623949579831933,0.025735294117647058,0.0005252100840336134,0.6544117647058824,0.007352941176470588,0.0,0.012605042016806723,0.0021008403361344537,0.022058823529411766,0.02100840336134454,0.0010504201680672268,0.0010504201680672268,0.0021008403361344537,0.0,0.0005252100840336134,0.0005252100840336134,0.0,0.0005252100840336134,0.031512605042016806,0.007878151260504201,0.004201680672268907,0.01050420168067227,0.003676470588235294,0.0,0.0,0.023109243697478993,0.0,0.004201680672268907,0.008403361344537815,0.0031512605042016808
FGFR3,0.06329113924050633,0.03907539900935608,0.03137039075399009,0.014859658778205834,0.00550357732526142,0.012658227848101266,0.007705008255365988,0.01375894331315355,0.00550357732526142,0.01375894331315355,0.008805723720418272,0.003852504127682994,0.007705008255365988,0.023665382498624106,0.009906439185470555,0.010456796917996699,0.3368189323059989,0.001100715465052284,0.000550357732526142,0.015960374243258118,0.04237754540451293,0.007705008255365988,0.009906439185470555,0.001651073197578426,0.0170610897083104,0.003852504127682994,0.026417171161254815,0.011557512383048982,0.000550357732526142,0.053384700055035775,0.002201430930104568,0.013208585580627407,0.009906439185470555,0.007705008255365988,0.0049532195927352776,0.008805723720418272,0.01375894331315355,0.0720968629609246,0.001651073197578426,0.010456796917996699,0.01651073197578426,0.0379746835443038
FOXO1,0.060503059143439834,0.018354860639021073,0.003399048266485384,0.013936097892590074,0.001699524133242692,0.00645819170632223,0.005098572399728076,0.011896668932698844,0.0003399048266485384,0.0003399048266485384,0.00645819170632223,0.010197144799456152,0.0030591434398368456,0.007138001359619306,0.007138001359619306,0.0003399048266485384,0.004758667573079538,0.4398368456832087,0.006118286879673691,0.0013596193065941536,0.007477906186267845,0.0,0.022433718558803536,0.006118286879673691,0.010876954452753228,0.0003399048266485384,0.007817811012916384,0.006798096532970768,0.03263086335825969,0.026852481305234533,0.005098572399728076,0.0013596193065941536,0.001699524133242692,0.020054384772263765,0.030591434398368457,0.0,0.05336505778382053,0.005098572399728076,0.10095173351461591,0.004078857919782461,0.0020394289598912306,0.04588715159755268
GLI1,0.038129496402877695,0.0014388489208633094,0.0028776978417266188,0.0057553956834532375,0.002158273381294964,0.007913669064748202,0.00935251798561151,0.0028776978417266188,0.008633093525179856,0.0007194244604316547,0.038129496402877695,0.005035971223021582,0.019424460431654675,0.010071942446043165,0.0035971223021582736,0.02302158273381295,0.007913669064748202,0.022302158273381296,0.4920863309352518,0.0007194244604316547,0.0028776978417266188,0.006474820143884892,0.012949640287769784,0.0057553956834532375,0.010071942446043165,0.0007194244604316547,0.0007194244604316547,0.007194244604316547,0.029496402877697843,0.011510791366906475,0.05107913669064748,0.005035971223021582,0.0035971223021582736,0.02014388489208633,0.034532374100719423,0.0,0.01223021582733813,0.02446043165467626,0.030215827338129497,0.011510791366906475,0.0,0.017266187050359712
HRAS,0.0010615711252653928,0.0031847133757961785,0.0,0.009554140127388535,0.0010615711252653928,0.027600849256900213,0.006369426751592357,0.03821656050955414,0.0,0.0,0.004246284501061571,0.005307855626326964,0.0,0.008492569002123142,0.0,0.0010615711252653928,0.004246284501061571,0.0,0.0,0.7866242038216561,0.005307855626326964,0.0031847133757961785,0.004246284501061571,0.010615711252653927,0.008492569002123142,0.005307855626326964,0.032908704883227176,0.0010615711252653928,0.0031847133757961785,0.005307855626326964,0.0010615711252653928,0.0,0.005307855626326964,0.005307855626326964,0.0,0.004246284501061571,0.0010615711252653928,0.006369426751592357,0.0,0.0,0.0,0.0
IRAK4,0.021045485403937542,0.05634758995247793,0.05974202308214528,0.006109979633401222,0.0,0.021045485403937542,0.0033944331296673455,0.018329938900203666,0.002036659877800407,0.014256619144602852,0.0006788866259334691,0.0013577732518669382,0.005431093007467753,0.010183299389002037,0.0033944331296673455,0.008146639511201629,0.021045485403937542,0.0027155465037338763,0.0033944331296673455,0.0006788866259334691,0.6171079429735234,0.0006788866259334691,0.0013577732518669382,0.0006788866259334691,0.002036659877800407,0.0,0.0006788866259334691,0.0,0.0013577732518669382,0.026476578411405296,0.0013577732518669382,0.0027155465037338763,0.0,0.004073319755600814,0.002036659877800407,0.01493550577053632,0.0027155465037338763,0.016293279022403257,0.0,0.0027155465037338763,0.04005431093007468,0.0033944331296673455
